platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,prime_eligible,url,image_url,description,brand,scraped_at,discount_percent
amazon,AMZ00001,Beauty Product 1,Electronics,403.59,522.66,4.4,2055,Limited Stock,Seller 7,4.3,Free Shipping,False,https://amazon.com/product/1,https://via.placeholder.com/300x300?text=Product+1,High-quality Beauty with excellent features and performance.,Brand A,2025-11-27 22:08:26,22.8
amazon,AMZ00002,Beauty Product 2,Fashion,283.27,557.41,3.8,4442,Limited Stock,Seller 26,4.1,Free Shipping,False,https://amazon.com/product/2,https://via.placeholder.com/300x300?text=Product+2,High-quality Beauty with excellent features and performance.,Brand B,2025-11-27 22:08:26,49.2
amazon,AMZ00003,Beauty Product 3,Sports,237.22,590.42,4.0,2590,Limited Stock,Seller 75,4.9,Free Shipping,False,https://amazon.com/product/3,https://via.placeholder.com/300x300?text=Product+3,High-quality Beauty with excellent features and performance.,Brand C,2025-11-27 22:08:26,59.8
amazon,AMZ00004,Beauty Product 4,Sports,176.87,428.02,4.2,1882,Pre-order,Seller 48,4.4,Paid Shipping,True,https://amazon.com/product/4,https://via.placeholder.com/300x300?text=Product+4,High-quality Beauty with excellent features and performance.,Brand D,2025-11-27 22:08:26,58.7
amazon,AMZ00005,Beauty Product 5,Home & Kitchen,433.06,574.84,4.6,855,In Stock,Seller 100,4.8,Paid Shipping,False,https://amazon.com/product/5,https://via.placeholder.com/300x300?text=Product+5,High-quality Beauty with excellent features and performance.,Brand E,2025-11-27 22:08:26,24.7
amazon,AMZ00006,Beauty Product 6,Fashion,86.38,359.2,4.0,3175,In Stock,Seller 69,4.5,Free Shipping,False,https://amazon.com/product/6,https://via.placeholder.com/300x300?text=Product+6,High-quality Beauty with excellent features and performance.,Brand F,2025-11-27 22:08:26,76.0
amazon,AMZ00007,Beauty Product 7,Electronics,250.39,370.31,4.8,4651,Pre-order,Seller 44,4.9,Free Shipping,True,https://amazon.com/product/7,https://via.placeholder.com/300x300?text=Product+7,High-quality Beauty with excellent features and performance.,Brand G,2025-11-27 22:08:26,32.4
amazon,AMZ00008,Beauty Product 8,Fashion,253.66,154.83,4.5,3273,Limited Stock,Seller 12,4.5,Paid Shipping,True,https://amazon.com/product/8,https://via.placeholder.com/300x300?text=Product+8,High-quality Beauty with excellent features and performance.,Brand H,2025-11-27 22:08:26,0.0
amazon,AMZ00009,Beauty Product 9,Electronics,293.92,160.5,4.2,3875,Limited Stock,Seller 34,4.2,Free Shipping,False,https://amazon.com/product/9,https://via.placeholder.com/300x300?text=Product+9,High-quality Beauty with excellent features and performance.,Brand I,2025-11-27 22:08:26,0.0
amazon,AMZ00010,Beauty Product 10,Sports,194.05,509.9,4.6,2779,In Stock,Seller 8,4.5,Free Shipping,True,https://amazon.com/product/10,https://via.placeholder.com/300x300?text=Product+10,High-quality Beauty with excellent features and performance.,Brand J,2025-11-27 22:08:26,61.9
