platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,prime_eligible,url,image_url,description,brand,scraped_at,discount_percent
amazon,AMZ00001,Electronics Product 1,Books,181.4,326.62,4.3,219,Pre-order,Seller 89,4.9,Free Shipping,False,https://amazon.com/product/1,https://via.placeholder.com/300x300?text=Product+1,High-quality Electronics with excellent features and performance.,Brand A,2025-11-24 16:58:03,44.5
amazon,AMZ00002,Electronics Product 2,Home & Kitchen,471.25,170.8,4.9,4264,In Stock,Seller 72,4.6,Paid Shipping,True,https://amazon.com/product/2,https://via.placeholder.com/300x300?text=Product+2,High-quality Electronics with excellent features and performance.,Brand B,2025-11-24 16:58:03,0.0
amazon,AMZ00003,Electronics Product 3,Books,361.71,318.37,3.7,4308,Pre-order,Seller 34,4.3,Paid Shipping,False,https://amazon.com/product/3,https://via.placeholder.com/300x300?text=Product+3,High-quality Electronics with excellent features and performance.,Brand C,2025-11-24 16:58:03,0.0
amazon,AMZ00004,Electronics Product 4,Sports,470.04,508.13,4.7,4756,Pre-order,Seller 73,4.8,Free Shipping,True,https://amazon.com/product/4,https://via.placeholder.com/300x300?text=Product+4,High-quality Electronics with excellent features and performance.,Brand D,2025-11-24 16:58:03,7.5
amazon,AMZ00005,Electronics Product 5,Home & Kitchen,161.22,218.88,4.7,2651,Limited Stock,Seller 32,5.0,Free Shipping,True,https://amazon.com/product/5,https://via.placeholder.com/300x300?text=Product+5,High-quality Electronics with excellent features and performance.,Brand E,2025-11-24 16:58:03,26.3
amazon,AMZ00006,Electronics Product 6,Home & Kitchen,427.3,107.65,4.5,1882,Limited Stock,Seller 70,5.0,Paid Shipping,False,https://amazon.com/product/6,https://via.placeholder.com/300x300?text=Product+6,High-quality Electronics with excellent features and performance.,Brand F,2025-11-24 16:58:03,0.0
amazon,AMZ00007,Electronics Product 7,Electronics,494.97,26.56,4.3,1757,Limited Stock,Seller 100,4.5,Free Shipping,False,https://amazon.com/product/7,https://via.placeholder.com/300x300?text=Product+7,High-quality Electronics with excellent features and performance.,Brand G,2025-11-24 16:58:03,0.0
amazon,AMZ00008,Electronics Product 8,Home & Kitchen,284.12,397.48,4.0,4383,Limited Stock,Seller 20,5.0,Paid Shipping,True,https://amazon.com/product/8,https://via.placeholder.com/300x300?text=Product+8,High-quality Electronics with excellent features and performance.,Brand H,2025-11-24 16:58:03,28.5
amazon,AMZ00009,Electronics Product 9,Electronics,194.08,316.96,3.6,2346,Limited Stock,Seller 23,4.2,Paid Shipping,False,https://amazon.com/product/9,https://via.placeholder.com/300x300?text=Product+9,High-quality Electronics with excellent features and performance.,Brand I,2025-11-24 16:58:03,38.8
amazon,AMZ00010,Electronics Product 10,Fashion,422.03,122.91,4.8,3734,Pre-order,Seller 77,4.9,Paid Shipping,False,https://amazon.com/product/10,https://via.placeholder.com/300x300?text=Product+10,High-quality Electronics with excellent features and performance.,Brand J,2025-11-24 16:58:03,0.0
amazon,AMZ00011,Electronics Product 11,Sports,83.97,113.46,4.0,4009,Limited Stock,Seller 68,4.4,Free Shipping,False,https://amazon.com/product/11,https://via.placeholder.com/300x300?text=Product+11,High-quality Electronics with excellent features and performance.,Brand K,2025-11-24 16:58:03,26.0
amazon,AMZ00012,Electronics Product 12,Electronics,362.78,49.83,3.5,3349,In Stock,Seller 47,4.6,Paid Shipping,False,https://amazon.com/product/12,https://via.placeholder.com/300x300?text=Product+12,High-quality Electronics with excellent features and performance.,Brand L,2025-11-24 16:58:03,0.0
amazon,AMZ00013,Electronics Product 13,Home & Kitchen,185.58,358.67,3.8,4828,Limited Stock,Seller 99,4.2,Paid Shipping,False,https://amazon.com/product/13,https://via.placeholder.com/300x300?text=Product+13,High-quality Electronics with excellent features and performance.,Brand M,2025-11-24 16:58:03,48.3
amazon,AMZ00014,Electronics Product 14,Electronics,369.26,546.87,3.7,3692,In Stock,Seller 91,5.0,Paid Shipping,False,https://amazon.com/product/14,https://via.placeholder.com/300x300?text=Product+14,High-quality Electronics with excellent features and performance.,Brand N,2025-11-24 16:58:03,32.5
amazon,AMZ00015,Electronics Product 15,Sports,312.06,42.87,4.1,4179,Pre-order,Seller 84,4.9,Paid Shipping,True,https://amazon.com/product/15,https://via.placeholder.com/300x300?text=Product+15,High-quality Electronics with excellent features and performance.,Brand O,2025-11-24 16:58:03,0.0
amazon,AMZ00016,Electronics Product 16,Electronics,170.71,371.18,3.5,2621,In Stock,Seller 19,5.0,Paid Shipping,False,https://amazon.com/product/16,https://via.placeholder.com/300x300?text=Product+16,High-quality Electronics with excellent features and performance.,Brand P,2025-11-24 16:58:03,54.0
amazon,AMZ00017,Electronics Product 17,Sports,87.38,211.53,4.5,1676,Limited Stock,Seller 33,4.9,Paid Shipping,True,https://amazon.com/product/17,https://via.placeholder.com/300x300?text=Product+17,High-quality Electronics with excellent features and performance.,Brand Q,2025-11-24 16:58:03,58.7
amazon,AMZ00018,Electronics Product 18,Home & Kitchen,497.24,95.76,3.7,4304,Limited Stock,Seller 45,4.5,Free Shipping,True,https://amazon.com/product/18,https://via.placeholder.com/300x300?text=Product+18,High-quality Electronics with excellent features and performance.,Brand R,2025-11-24 16:58:03,0.0
amazon,AMZ00019,Electronics Product 19,Home & Kitchen,80.08,56.36,4.8,4371,Pre-order,Seller 55,4.9,Free Shipping,False,https://amazon.com/product/19,https://via.placeholder.com/300x300?text=Product+19,High-quality Electronics with excellent features and performance.,Brand S,2025-11-24 16:58:03,0.0
amazon,AMZ00020,Electronics Product 20,Home & Kitchen,475.52,508.03,4.4,155,Pre-order,Seller 18,4.8,Free Shipping,False,https://amazon.com/product/20,https://via.placeholder.com/300x300?text=Product+20,High-quality Electronics with excellent features and performance.,Brand T,2025-11-24 16:58:03,6.4
