platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,prime_eligible,url,image_url,description,brand,scraped_at,discount_percent
amazon,AMZ00001,Fashion Product 1,Fashion,333.99,273.38,4.2,4365,In Stock,Seller 60,4.3,Free Shipping,True,https://amazon.com/product/1,https://via.placeholder.com/300x300?text=Product+1,High-quality Fashion with excellent features and performance.,Brand A,2025-11-24 00:58:54,0.0
amazon,AMZ00002,Fashion Product 2,Fashion,251.67,162.28,3.5,4090,Limited Stock,Seller 39,4.0,Free Shipping,True,https://amazon.com/product/2,https://via.placeholder.com/300x300?text=Product+2,High-quality Fashion with excellent features and performance.,Brand B,2025-11-24 00:58:54,0.0
amazon,AMZ00003,Fashion Product 3,Books,204.03,579.29,4.5,4661,Limited Stock,Seller 31,4.1,Free Shipping,False,https://amazon.com/product/3,https://via.placeholder.com/300x300?text=Product+3,High-quality Fashion with excellent features and performance.,Brand C,2025-11-24 00:58:54,64.8
amazon,AMZ00004,Fashion Product 4,Electronics,332.0,203.57,3.6,2546,In Stock,Seller 28,4.6,Free Shipping,False,https://amazon.com/product/4,https://via.placeholder.com/300x300?text=Product+4,High-quality Fashion with excellent features and performance.,Brand D,2025-11-24 00:58:54,0.0
amazon,AMZ00005,Fashion Product 5,Electronics,173.8,218.26,4.8,692,Pre-order,Seller 62,4.2,Free Shipping,True,https://amazon.com/product/5,https://via.placeholder.com/300x300?text=Product+5,High-quality Fashion with excellent features and performance.,Brand E,2025-11-24 00:58:54,20.4
amazon,AMZ00006,Fashion Product 6,Electronics,345.96,350.11,3.7,4474,Limited Stock,Seller 34,4.9,Free Shipping,False,https://amazon.com/product/6,https://via.placeholder.com/300x300?text=Product+6,High-quality Fashion with excellent features and performance.,Brand F,2025-11-24 00:58:54,1.2
amazon,AMZ00007,Fashion Product 7,Books,285.32,316.59,3.6,4608,Limited Stock,Seller 83,4.3,Free Shipping,True,https://amazon.com/product/7,https://via.placeholder.com/300x300?text=Product+7,High-quality Fashion with excellent features and performance.,Brand G,2025-11-24 00:58:54,9.9
amazon,AMZ00008,Fashion Product 8,Electronics,47.06,321.18,4.6,4425,Limited Stock,Seller 88,4.4,Free Shipping,False,https://amazon.com/product/8,https://via.placeholder.com/300x300?text=Product+8,High-quality Fashion with excellent features and performance.,Brand H,2025-11-24 00:58:54,85.3
amazon,AMZ00009,Fashion Product 9,Sports,12.04,43.13,4.5,1148,Limited Stock,Seller 44,4.2,Free Shipping,False,https://amazon.com/product/9,https://via.placeholder.com/300x300?text=Product+9,High-quality Fashion with excellent features and performance.,Brand I,2025-11-24 00:58:54,72.1
amazon,AMZ00010,Fashion Product 10,Electronics,40.68,332.6,3.9,631,In Stock,Seller 46,4.6,Paid Shipping,False,https://amazon.com/product/10,https://via.placeholder.com/300x300?text=Product+10,High-quality Fashion with excellent features and performance.,Brand J,2025-11-24 00:58:54,87.8
amazon,AMZ00011,Fashion Product 11,Fashion,219.97,97.21,4.8,4799,Pre-order,Seller 32,4.3,Paid Shipping,True,https://amazon.com/product/11,https://via.placeholder.com/300x300?text=Product+11,High-quality Fashion with excellent features and performance.,Brand K,2025-11-24 00:58:54,0.0
amazon,AMZ00012,Fashion Product 12,Books,91.31,474.59,4.0,411,In Stock,Seller 23,4.5,Free Shipping,True,https://amazon.com/product/12,https://via.placeholder.com/300x300?text=Product+12,High-quality Fashion with excellent features and performance.,Brand L,2025-11-24 00:58:54,80.8
amazon,AMZ00013,Fashion Product 13,Fashion,394.43,490.34,4.6,444,Limited Stock,Seller 21,4.9,Free Shipping,False,https://amazon.com/product/13,https://via.placeholder.com/300x300?text=Product+13,High-quality Fashion with excellent features and performance.,Brand M,2025-11-24 00:58:54,19.6
amazon,AMZ00014,Fashion Product 14,Home & Kitchen,196.84,204.24,3.7,3541,In Stock,Seller 35,4.1,Free Shipping,True,https://amazon.com/product/14,https://via.placeholder.com/300x300?text=Product+14,High-quality Fashion with excellent features and performance.,Brand N,2025-11-24 00:58:54,3.6
amazon,AMZ00015,Fashion Product 15,Fashion,107.66,245.18,3.7,1939,Limited Stock,Seller 76,4.8,Free Shipping,False,https://amazon.com/product/15,https://via.placeholder.com/300x300?text=Product+15,High-quality Fashion with excellent features and performance.,Brand O,2025-11-24 00:58:54,56.1
amazon,AMZ00016,Fashion Product 16,Electronics,254.83,360.08,4.3,3615,Limited Stock,Seller 50,4.4,Paid Shipping,False,https://amazon.com/product/16,https://via.placeholder.com/300x300?text=Product+16,High-quality Fashion with excellent features and performance.,Brand P,2025-11-24 00:58:54,29.2
amazon,AMZ00017,Fashion Product 17,Fashion,53.43,17.9,3.9,2164,Pre-order,Seller 16,4.2,Free Shipping,False,https://amazon.com/product/17,https://via.placeholder.com/300x300?text=Product+17,High-quality Fashion with excellent features and performance.,Brand Q,2025-11-24 00:58:54,0.0
amazon,AMZ00018,Fashion Product 18,Electronics,85.19,239.08,5.0,2056,Pre-order,Seller 21,4.8,Paid Shipping,True,https://amazon.com/product/18,https://via.placeholder.com/300x300?text=Product+18,High-quality Fashion with excellent features and performance.,Brand R,2025-11-24 00:58:54,64.4
amazon,AMZ00019,Fashion Product 19,Sports,66.8,535.19,4.7,975,Limited Stock,Seller 23,4.2,Paid Shipping,True,https://amazon.com/product/19,https://via.placeholder.com/300x300?text=Product+19,High-quality Fashion with excellent features and performance.,Brand S,2025-11-24 00:58:54,87.5
amazon,AMZ00020,Fashion Product 20,Home & Kitchen,53.0,361.62,4.2,4671,Limited Stock,Seller 11,4.5,Paid Shipping,True,https://amazon.com/product/20,https://via.placeholder.com/300x300?text=Product+20,High-quality Fashion with excellent features and performance.,Brand T,2025-11-24 00:58:54,85.3
amazon,AMZ00021,Fashion Product 21,Home & Kitchen,24.17,145.6,4.2,3666,In Stock,Seller 3,4.1,Paid Shipping,True,https://amazon.com/product/21,https://via.placeholder.com/300x300?text=Product+21,High-quality Fashion with excellent features and performance.,Brand U,2025-11-24 00:58:54,83.4
amazon,AMZ00022,Fashion Product 22,Sports,240.63,427.94,4.2,2632,In Stock,Seller 94,4.3,Free Shipping,False,https://amazon.com/product/22,https://via.placeholder.com/300x300?text=Product+22,High-quality Fashion with excellent features and performance.,Brand V,2025-11-24 00:58:54,43.8
amazon,AMZ00023,Fashion Product 23,Fashion,498.16,64.81,4.0,3174,Pre-order,Seller 29,4.1,Paid Shipping,True,https://amazon.com/product/23,https://via.placeholder.com/300x300?text=Product+23,High-quality Fashion with excellent features and performance.,Brand W,2025-11-24 00:58:54,0.0
amazon,AMZ00024,Fashion Product 24,Home & Kitchen,164.41,44.57,3.7,4843,Pre-order,Seller 100,4.6,Free Shipping,True,https://amazon.com/product/24,https://via.placeholder.com/300x300?text=Product+24,High-quality Fashion with excellent features and performance.,Brand X,2025-11-24 00:58:54,0.0
amazon,AMZ00025,Fashion Product 25,Electronics,335.59,83.25,4.1,4351,In Stock,Seller 73,4.4,Paid Shipping,False,https://amazon.com/product/25,https://via.placeholder.com/300x300?text=Product+25,High-quality Fashion with excellent features and performance.,Brand Y,2025-11-24 00:58:54,0.0
amazon,AMZ00026,Fashion Product 26,Fashion,82.57,214.17,4.4,4836,Pre-order,Seller 24,4.1,Free Shipping,False,https://amazon.com/product/26,https://via.placeholder.com/300x300?text=Product+26,High-quality Fashion with excellent features and performance.,Brand Z,2025-11-24 00:58:54,61.4
amazon,AMZ00027,Fashion Product 27,Fashion,359.69,442.0,4.8,4074,In Stock,Seller 47,4.8,Paid Shipping,True,https://amazon.com/product/27,https://via.placeholder.com/300x300?text=Product+27,High-quality Fashion with excellent features and performance.,Brand A,2025-11-24 00:58:54,18.6
amazon,AMZ00028,Fashion Product 28,Sports,355.33,409.88,4.0,1967,In Stock,Seller 55,4.5,Paid Shipping,True,https://amazon.com/product/28,https://via.placeholder.com/300x300?text=Product+28,High-quality Fashion with excellent features and performance.,Brand B,2025-11-24 00:58:54,13.3
amazon,AMZ00029,Fashion Product 29,Fashion,32.14,153.66,4.2,4470,Limited Stock,Seller 65,4.1,Paid Shipping,True,https://amazon.com/product/29,https://via.placeholder.com/300x300?text=Product+29,High-quality Fashion with excellent features and performance.,Brand C,2025-11-24 00:58:54,79.1
amazon,AMZ00030,Fashion Product 30,Fashion,332.58,92.72,4.3,1826,Pre-order,Seller 57,5.0,Free Shipping,True,https://amazon.com/product/30,https://via.placeholder.com/300x300?text=Product+30,High-quality Fashion with excellent features and performance.,Brand D,2025-11-24 00:58:54,0.0
amazon,AMZ00031,Fashion Product 31,Books,152.06,53.95,4.8,3958,Pre-order,Seller 65,4.4,Paid Shipping,True,https://amazon.com/product/31,https://via.placeholder.com/300x300?text=Product+31,High-quality Fashion with excellent features and performance.,Brand E,2025-11-24 00:58:54,0.0
