platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,prime_eligible,url,image_url,description,brand,scraped_at,discount_percent
amazon,AMZ00001,Home Product 1,Electronics,78.44,204.22,4.8,2788,Limited Stock,Seller 22,4.3,Free Shipping,True,https://amazon.com/product/1,https://via.placeholder.com/300x300?text=Product+1,High-quality Home with excellent features and performance.,Brand A,2025-11-24 16:26:59,61.6
amazon,AMZ00002,Home Product 2,Electronics,341.68,407.69,4.5,4213,In Stock,Seller 35,4.1,Free Shipping,True,https://amazon.com/product/2,https://via.placeholder.com/300x300?text=Product+2,High-quality Home with excellent features and performance.,Brand B,2025-11-24 16:26:59,16.2
amazon,AMZ00003,Home Product 3,Fashion,234.48,465.02,5.0,1324,Limited Stock,Seller 36,4.9,Free Shipping,True,https://amazon.com/product/3,https://via.placeholder.com/300x300?text=Product+3,High-quality Home with excellent features and performance.,Brand C,2025-11-24 16:26:59,49.6
amazon,AMZ00004,Home Product 4,Sports,89.37,447.86,3.5,4629,Limited Stock,Seller 92,4.5,Paid Shipping,False,https://amazon.com/product/4,https://via.placeholder.com/300x300?text=Product+4,High-quality Home with excellent features and performance.,Brand D,2025-11-24 16:26:59,80.0
amazon,AMZ00005,Home Product 5,Fashion,461.01,513.74,4.3,1235,Limited Stock,Seller 55,4.8,Free Shipping,True,https://amazon.com/product/5,https://via.placeholder.com/300x300?text=Product+5,High-quality Home with excellent features and performance.,Brand E,2025-11-24 16:26:59,10.3
amazon,AMZ00006,Home Product 6,Fashion,252.96,455.53,4.3,1720,Limited Stock,Seller 32,4.1,Paid Shipping,True,https://amazon.com/product/6,https://via.placeholder.com/300x300?text=Product+6,High-quality Home with excellent features and performance.,Brand F,2025-11-24 16:26:59,44.5
amazon,AMZ00007,Home Product 7,Electronics,285.35,370.73,4.7,4272,Limited Stock,Seller 92,4.1,Free Shipping,True,https://amazon.com/product/7,https://via.placeholder.com/300x300?text=Product+7,High-quality Home with excellent features and performance.,Brand G,2025-11-24 16:26:59,23.0
amazon,AMZ00008,Home Product 8,Books,372.11,218.44,4.7,2361,In Stock,Seller 100,4.8,Paid Shipping,True,https://amazon.com/product/8,https://via.placeholder.com/300x300?text=Product+8,High-quality Home with excellent features and performance.,Brand H,2025-11-24 16:26:59,0.0
amazon,AMZ00009,Home Product 9,Books,24.59,319.71,5.0,2027,Limited Stock,Seller 59,4.7,Paid Shipping,False,https://amazon.com/product/9,https://via.placeholder.com/300x300?text=Product+9,High-quality Home with excellent features and performance.,Brand I,2025-11-24 16:26:59,92.3
amazon,AMZ00010,Home Product 10,Books,125.26,480.52,4.8,2039,In Stock,Seller 37,4.5,Paid Shipping,True,https://amazon.com/product/10,https://via.placeholder.com/300x300?text=Product+10,High-quality Home with excellent features and performance.,Brand J,2025-11-24 16:26:59,73.9
amazon,AMZ00011,Home Product 11,Fashion,465.02,237.07,3.8,2700,Pre-order,Seller 58,4.8,Paid Shipping,True,https://amazon.com/product/11,https://via.placeholder.com/300x300?text=Product+11,High-quality Home with excellent features and performance.,Brand K,2025-11-24 16:26:59,0.0
amazon,AMZ00012,Home Product 12,Home & Kitchen,335.81,487.74,4.8,2036,Limited Stock,Seller 76,4.1,Paid Shipping,False,https://amazon.com/product/12,https://via.placeholder.com/300x300?text=Product+12,High-quality Home with excellent features and performance.,Brand L,2025-11-24 16:26:59,31.1
amazon,AMZ00013,Home Product 13,Electronics,320.81,289.25,3.5,1298,In Stock,Seller 49,4.2,Paid Shipping,True,https://amazon.com/product/13,https://via.placeholder.com/300x300?text=Product+13,High-quality Home with excellent features and performance.,Brand M,2025-11-24 16:26:59,0.0
amazon,AMZ00014,Home Product 14,Fashion,381.29,528.38,3.8,372,In Stock,Seller 44,4.7,Free Shipping,True,https://amazon.com/product/14,https://via.placeholder.com/300x300?text=Product+14,High-quality Home with excellent features and performance.,Brand N,2025-11-24 16:26:59,27.8
amazon,AMZ00015,Home Product 15,Home & Kitchen,367.99,108.65,4.1,845,In Stock,Seller 78,4.7,Free Shipping,False,https://amazon.com/product/15,https://via.placeholder.com/300x300?text=Product+15,High-quality Home with excellent features and performance.,Brand O,2025-11-24 16:26:59,0.0
amazon,AMZ00016,Home Product 16,Fashion,231.39,395.76,4.4,3872,Pre-order,Seller 95,4.7,Free Shipping,False,https://amazon.com/product/16,https://via.placeholder.com/300x300?text=Product+16,High-quality Home with excellent features and performance.,Brand P,2025-11-24 16:26:59,41.5
amazon,AMZ00017,Home Product 17,Sports,468.68,365.22,4.7,4224,Pre-order,Seller 64,4.1,Paid Shipping,True,https://amazon.com/product/17,https://via.placeholder.com/300x300?text=Product+17,High-quality Home with excellent features and performance.,Brand Q,2025-11-24 16:26:59,0.0
amazon,AMZ00018,Home Product 18,Fashion,232.81,577.88,4.4,1286,In Stock,Seller 87,4.7,Paid Shipping,True,https://amazon.com/product/18,https://via.placeholder.com/300x300?text=Product+18,High-quality Home with excellent features and performance.,Brand R,2025-11-24 16:26:59,59.7
amazon,AMZ00019,Home Product 19,Electronics,417.81,259.36,4.7,2837,Limited Stock,Seller 62,4.7,Free Shipping,False,https://amazon.com/product/19,https://via.placeholder.com/300x300?text=Product+19,High-quality Home with excellent features and performance.,Brand S,2025-11-24 16:26:59,0.0
amazon,AMZ00020,Home Product 20,Home & Kitchen,420.24,531.81,4.5,3619,Pre-order,Seller 32,4.4,Paid Shipping,False,https://amazon.com/product/20,https://via.placeholder.com/300x300?text=Product+20,High-quality Home with excellent features and performance.,Brand T,2025-11-24 16:26:59,21.0
amazon,AMZ00021,Home Product 21,Home & Kitchen,267.51,325.99,3.7,3315,Pre-order,Seller 80,4.2,Paid Shipping,True,https://amazon.com/product/21,https://via.placeholder.com/300x300?text=Product+21,High-quality Home with excellent features and performance.,Brand U,2025-11-24 16:26:59,17.9
amazon,AMZ00022,Home Product 22,Fashion,234.2,319.09,3.9,886,Limited Stock,Seller 7,4.2,Paid Shipping,False,https://amazon.com/product/22,https://via.placeholder.com/300x300?text=Product+22,High-quality Home with excellent features and performance.,Brand V,2025-11-24 16:26:59,26.6
amazon,AMZ00023,Home Product 23,Electronics,60.15,159.48,3.6,1182,Limited Stock,Seller 24,5.0,Paid Shipping,True,https://amazon.com/product/23,https://via.placeholder.com/300x300?text=Product+23,High-quality Home with excellent features and performance.,Brand W,2025-11-24 16:26:59,62.3
amazon,AMZ00024,Home Product 24,Electronics,251.14,411.32,3.9,494,In Stock,Seller 95,4.6,Paid Shipping,False,https://amazon.com/product/24,https://via.placeholder.com/300x300?text=Product+24,High-quality Home with excellent features and performance.,Brand X,2025-11-24 16:26:59,38.9
amazon,AMZ00025,Home Product 25,Books,78.38,376.82,4.7,2013,Limited Stock,Seller 48,4.5,Free Shipping,True,https://amazon.com/product/25,https://via.placeholder.com/300x300?text=Product+25,High-quality Home with excellent features and performance.,Brand Y,2025-11-24 16:26:59,79.2
amazon,AMZ00026,Home Product 26,Fashion,174.4,478.71,4.1,1789,Pre-order,Seller 18,4.1,Free Shipping,False,https://amazon.com/product/26,https://via.placeholder.com/300x300?text=Product+26,High-quality Home with excellent features and performance.,Brand Z,2025-11-24 16:26:59,63.6
amazon,AMZ00027,Home Product 27,Electronics,113.39,240.04,4.5,3350,Pre-order,Seller 76,4.3,Paid Shipping,True,https://amazon.com/product/27,https://via.placeholder.com/300x300?text=Product+27,High-quality Home with excellent features and performance.,Brand A,2025-11-24 16:26:59,52.8
amazon,AMZ00028,Home Product 28,Electronics,148.59,328.53,4.9,2067,Pre-order,Seller 53,4.7,Paid Shipping,False,https://amazon.com/product/28,https://via.placeholder.com/300x300?text=Product+28,High-quality Home with excellent features and performance.,Brand B,2025-11-24 16:26:59,54.8
amazon,AMZ00029,Home Product 29,Books,422.71,277.08,4.2,3705,Pre-order,Seller 48,4.3,Free Shipping,True,https://amazon.com/product/29,https://via.placeholder.com/300x300?text=Product+29,High-quality Home with excellent features and performance.,Brand C,2025-11-24 16:26:59,0.0
amazon,AMZ00030,Home Product 30,Home & Kitchen,431.53,469.43,4.9,3381,Limited Stock,Seller 1,4.9,Free Shipping,True,https://amazon.com/product/30,https://via.placeholder.com/300x300?text=Product+30,High-quality Home with excellent features and performance.,Brand D,2025-11-24 16:26:59,8.1
amazon,AMZ00031,Home Product 31,Home & Kitchen,467.41,379.76,3.7,4475,Limited Stock,Seller 36,4.3,Paid Shipping,False,https://amazon.com/product/31,https://via.placeholder.com/300x300?text=Product+31,High-quality Home with excellent features and performance.,Brand E,2025-11-24 16:26:59,0.0
amazon,AMZ00032,Home Product 32,Books,161.78,412.07,3.9,2010,Limited Stock,Seller 50,4.6,Free Shipping,False,https://amazon.com/product/32,https://via.placeholder.com/300x300?text=Product+32,High-quality Home with excellent features and performance.,Brand F,2025-11-24 16:26:59,60.7
amazon,AMZ00033,Home Product 33,Home & Kitchen,296.57,405.38,4.3,4159,Pre-order,Seller 44,4.0,Free Shipping,True,https://amazon.com/product/33,https://via.placeholder.com/300x300?text=Product+33,High-quality Home with excellent features and performance.,Brand G,2025-11-24 16:26:59,26.8
amazon,AMZ00034,Home Product 34,Fashion,478.55,164.41,3.5,4200,Limited Stock,Seller 96,4.4,Paid Shipping,True,https://amazon.com/product/34,https://via.placeholder.com/300x300?text=Product+34,High-quality Home with excellent features and performance.,Brand H,2025-11-24 16:26:59,0.0
amazon,AMZ00035,Home Product 35,Home & Kitchen,89.73,268.52,3.6,3359,Pre-order,Seller 78,4.0,Paid Shipping,True,https://amazon.com/product/35,https://via.placeholder.com/300x300?text=Product+35,High-quality Home with excellent features and performance.,Brand I,2025-11-24 16:26:59,66.6
amazon,AMZ00036,Home Product 36,Books,424.21,130.65,4.4,4497,Limited Stock,Seller 58,5.0,Paid Shipping,True,https://amazon.com/product/36,https://via.placeholder.com/300x300?text=Product+36,High-quality Home with excellent features and performance.,Brand J,2025-11-24 16:26:59,0.0
amazon,AMZ00037,Home Product 37,Books,152.81,465.06,4.9,2957,Limited Stock,Seller 83,4.1,Free Shipping,False,https://amazon.com/product/37,https://via.placeholder.com/300x300?text=Product+37,High-quality Home with excellent features and performance.,Brand K,2025-11-24 16:26:59,67.1
amazon,AMZ00038,Home Product 38,Books,309.2,281.46,4.5,742,Pre-order,Seller 26,4.6,Free Shipping,False,https://amazon.com/product/38,https://via.placeholder.com/300x300?text=Product+38,High-quality Home with excellent features and performance.,Brand L,2025-11-24 16:26:59,0.0
amazon,AMZ00039,Home Product 39,Electronics,314.15,62.71,3.5,1943,In Stock,Seller 43,4.8,Paid Shipping,False,https://amazon.com/product/39,https://via.placeholder.com/300x300?text=Product+39,High-quality Home with excellent features and performance.,Brand M,2025-11-24 16:26:59,0.0
amazon,AMZ00040,Home Product 40,Electronics,464.2,106.94,3.8,659,Limited Stock,Seller 5,4.3,Paid Shipping,False,https://amazon.com/product/40,https://via.placeholder.com/300x300?text=Product+40,High-quality Home with excellent features and performance.,Brand N,2025-11-24 16:26:59,0.0
amazon,AMZ00041,Home Product 41,Electronics,276.91,470.9,4.3,4393,In Stock,Seller 78,4.5,Free Shipping,True,https://amazon.com/product/41,https://via.placeholder.com/300x300?text=Product+41,High-quality Home with excellent features and performance.,Brand O,2025-11-24 16:26:59,41.2
amazon,AMZ00042,Home Product 42,Home & Kitchen,194.79,331.95,4.2,4997,Pre-order,Seller 99,4.1,Paid Shipping,False,https://amazon.com/product/42,https://via.placeholder.com/300x300?text=Product+42,High-quality Home with excellent features and performance.,Brand P,2025-11-24 16:26:59,41.3
