platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,prime_eligible,url,image_url,description,brand,scraped_at,discount_percent
amazon,AMZ00001,Sports Product 1,Fashion,270.68,531.22,4.0,1961,Pre-order,Seller 21,4.5,Paid Shipping,True,https://amazon.com/product/1,https://via.placeholder.com/300x300?text=Product+1,High-quality Sports with excellent features and performance.,Brand A,2025-11-24 16:31:31,49.0
amazon,AMZ00002,Sports Product 2,Sports,421.15,467.55,4.2,4843,Pre-order,Seller 22,4.2,Free Shipping,False,https://amazon.com/product/2,https://via.placeholder.com/300x300?text=Product+2,High-quality Sports with excellent features and performance.,Brand B,2025-11-24 16:31:31,9.9
amazon,AMZ00003,Sports Product 3,Sports,375.14,251.18,4.2,3465,Limited Stock,Seller 41,4.4,Free Shipping,False,https://amazon.com/product/3,https://via.placeholder.com/300x300?text=Product+3,High-quality Sports with excellent features and performance.,Brand C,2025-11-24 16:31:31,0.0
amazon,AMZ00004,Sports Product 4,Fashion,464.94,269.26,3.6,2918,In Stock,Seller 48,4.1,Free Shipping,True,https://amazon.com/product/4,https://via.placeholder.com/300x300?text=Product+4,High-quality Sports with excellent features and performance.,Brand D,2025-11-24 16:31:31,0.0
amazon,AMZ00005,Sports Product 5,Home & Kitchen,20.61,201.63,3.6,3127,In Stock,Seller 47,4.7,Paid Shipping,False,https://amazon.com/product/5,https://via.placeholder.com/300x300?text=Product+5,High-quality Sports with excellent features and performance.,Brand E,2025-11-24 16:31:31,89.8
amazon,AMZ00006,Sports Product 6,Home & Kitchen,433.68,584.37,4.8,4791,Limited Stock,Seller 10,4.7,Free Shipping,False,https://amazon.com/product/6,https://via.placeholder.com/300x300?text=Product+6,High-quality Sports with excellent features and performance.,Brand F,2025-11-24 16:31:31,25.8
amazon,AMZ00007,Sports Product 7,Sports,253.2,219.26,3.7,1083,In Stock,Seller 44,4.8,Free Shipping,True,https://amazon.com/product/7,https://via.placeholder.com/300x300?text=Product+7,High-quality Sports with excellent features and performance.,Brand G,2025-11-24 16:31:31,0.0
amazon,AMZ00008,Sports Product 8,Books,232.01,78.33,3.9,2857,Limited Stock,Seller 46,4.3,Free Shipping,True,https://amazon.com/product/8,https://via.placeholder.com/300x300?text=Product+8,High-quality Sports with excellent features and performance.,Brand H,2025-11-24 16:31:31,0.0
amazon,AMZ00009,Sports Product 9,Fashion,24.53,440.75,4.3,1844,In Stock,Seller 1,4.6,Paid Shipping,True,https://amazon.com/product/9,https://via.placeholder.com/300x300?text=Product+9,High-quality Sports with excellent features and performance.,Brand I,2025-11-24 16:31:31,94.4
amazon,AMZ00010,Sports Product 10,Books,35.54,380.29,4.4,1269,Limited Stock,Seller 21,4.0,Paid Shipping,False,https://amazon.com/product/10,https://via.placeholder.com/300x300?text=Product+10,High-quality Sports with excellent features and performance.,Brand J,2025-11-24 16:31:31,90.7
amazon,AMZ00011,Sports Product 11,Sports,352.51,91.22,3.9,4740,Limited Stock,Seller 12,4.6,Free Shipping,False,https://amazon.com/product/11,https://via.placeholder.com/300x300?text=Product+11,High-quality Sports with excellent features and performance.,Brand K,2025-11-24 16:31:31,0.0
amazon,AMZ00012,Sports Product 12,Sports,15.76,522.79,4.5,3924,In Stock,Seller 55,4.3,Paid Shipping,False,https://amazon.com/product/12,https://via.placeholder.com/300x300?text=Product+12,High-quality Sports with excellent features and performance.,Brand L,2025-11-24 16:31:31,97.0
amazon,AMZ00013,Sports Product 13,Fashion,210.74,219.4,4.2,811,In Stock,Seller 100,4.7,Paid Shipping,True,https://amazon.com/product/13,https://via.placeholder.com/300x300?text=Product+13,High-quality Sports with excellent features and performance.,Brand M,2025-11-24 16:31:31,3.9
