platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,verified_seller,url,image_url,description,brand,scraped_at,discount_percent
daraz,DRZ00001,Beauty Item 1,Home,23291.37,45353.63,4.9,2825,Pre-order,Daraz Seller 7,4.4,Free Delivery,False,https://daraz.pk/product/1,https://via.placeholder.com/300x300?text=Item+1,Quality Beauty available in Pakistan with fast delivery.,Brand A,2025-11-28 08:56:37,48.6
daraz,DRZ00002,Beauty Item 2,Sports,29257.96,36187.74,4.2,2893,In Stock,Daraz Seller 69,3.8,Free Delivery,False,https://daraz.pk/product/2,https://via.placeholder.com/300x300?text=Item+2,Quality Beauty available in Pakistan with fast delivery.,Brand B,2025-11-28 08:56:37,19.1
daraz,DRZ00003,Beauty Item 3,Fashion,40421.36,7972.13,4.7,2012,Pre-order,Daraz Seller 89,4.2,Free Delivery,True,https://daraz.pk/product/3,https://via.placeholder.com/300x300?text=Item+3,Quality Beauty available in Pakistan with fast delivery.,Brand C,2025-11-28 08:56:37,0.0
daraz,DRZ00004,Beauty Item 4,Home,16100.34,26310.1,4.3,1889,Pre-order,Daraz Seller 74,3.8,Free Delivery,False,https://daraz.pk/product/4,https://via.placeholder.com/300x300?text=Item+4,Quality Beauty available in Pakistan with fast delivery.,Brand D,2025-11-28 08:56:37,38.8
daraz,DRZ00005,Beauty Item 5,Beauty,33115.95,15896.58,3.4,1725,Out of Stock,Daraz Seller 73,4.6,Free Delivery,True,https://daraz.pk/product/5,https://via.placeholder.com/300x300?text=Item+5,Quality Beauty available in Pakistan with fast delivery.,Brand E,2025-11-28 08:56:37,0.0
daraz,DRZ00006,Beauty Item 6,Electronics,14176.24,28595.18,4.7,2188,Out of Stock,Daraz Seller 86,4.8,Cash on Delivery,True,https://daraz.pk/product/6,https://via.placeholder.com/300x300?text=Item+6,Quality Beauty available in Pakistan with fast delivery.,Brand F,2025-11-28 08:56:37,50.4
daraz,DRZ00007,Beauty Item 7,Fashion,6003.7,26547.34,4.3,121,Out of Stock,Daraz Seller 35,3.9,Free Delivery,False,https://daraz.pk/product/7,https://via.placeholder.com/300x300?text=Item+7,Quality Beauty available in Pakistan with fast delivery.,Brand G,2025-11-28 08:56:37,77.4
daraz,DRZ00008,Beauty Item 8,Fashion,36261.96,35604.89,4.1,298,Out of Stock,Daraz Seller 79,3.9,Free Delivery,False,https://daraz.pk/product/8,https://via.placeholder.com/300x300?text=Item+8,Quality Beauty available in Pakistan with fast delivery.,Brand H,2025-11-28 08:56:37,0.0
daraz,DRZ00009,Beauty Item 9,Sports,10170.06,43149.43,4.8,1199,Out of Stock,Daraz Seller 51,3.5,Cash on Delivery,False,https://daraz.pk/product/9,https://via.placeholder.com/300x300?text=Item+9,Quality Beauty available in Pakistan with fast delivery.,Brand I,2025-11-28 08:56:37,76.4
daraz,DRZ00010,Beauty Item 10,Home,22188.66,39594.09,4.8,1079,Pre-order,Daraz Seller 85,4.3,Free Delivery,True,https://daraz.pk/product/10,https://via.placeholder.com/300x300?text=Item+10,Quality Beauty available in Pakistan with fast delivery.,Brand J,2025-11-28 08:56:37,44.0
daraz,DRZ00011,Beauty Item 11,Home,22349.07,8920.3,3.3,2643,Out of Stock,Daraz Seller 10,4.5,Free Delivery,False,https://daraz.pk/product/11,https://via.placeholder.com/300x300?text=Item+11,Quality Beauty available in Pakistan with fast delivery.,Brand K,2025-11-28 08:56:37,0.0
daraz,DRZ00012,Beauty Item 12,Electronics,17014.95,39612.34,3.9,82,Pre-order,Daraz Seller 5,4.6,Free Delivery,True,https://daraz.pk/product/12,https://via.placeholder.com/300x300?text=Item+12,Quality Beauty available in Pakistan with fast delivery.,Brand L,2025-11-28 08:56:37,57.0
daraz,DRZ00013,Beauty Item 13,Beauty,19313.76,35737.68,3.8,2434,Out of Stock,Daraz Seller 25,3.8,Free Delivery,True,https://daraz.pk/product/13,https://via.placeholder.com/300x300?text=Item+13,Quality Beauty available in Pakistan with fast delivery.,Brand M,2025-11-28 08:56:37,46.0
daraz,DRZ00014,Beauty Item 14,Beauty,47508.93,29945.4,3.8,1384,In Stock,Daraz Seller 66,4.6,Cash on Delivery,True,https://daraz.pk/product/14,https://via.placeholder.com/300x300?text=Item+14,Quality Beauty available in Pakistan with fast delivery.,Brand N,2025-11-28 08:56:37,0.0
daraz,DRZ00015,Beauty Item 15,Fashion,48444.03,14512.25,4.6,2390,Pre-order,Daraz Seller 83,3.8,Free Delivery,True,https://daraz.pk/product/15,https://via.placeholder.com/300x300?text=Item+15,Quality Beauty available in Pakistan with fast delivery.,Brand O,2025-11-28 08:56:37,0.0
daraz,DRZ00016,Beauty Item 16,Beauty,14139.36,4771.97,4.1,1144,In Stock,Daraz Seller 40,4.5,Free Delivery,True,https://daraz.pk/product/16,https://via.placeholder.com/300x300?text=Item+16,Quality Beauty available in Pakistan with fast delivery.,Brand P,2025-11-28 08:56:37,0.0
daraz,DRZ00017,Beauty Item 17,Home,1476.63,30577.99,3.7,2859,In Stock,Daraz Seller 65,4.5,Cash on Delivery,False,https://daraz.pk/product/17,https://via.placeholder.com/300x300?text=Item+17,Quality Beauty available in Pakistan with fast delivery.,Brand Q,2025-11-28 08:56:37,95.2
daraz,DRZ00018,Beauty Item 18,Beauty,27007.16,23546.96,3.7,1622,In Stock,Daraz Seller 23,4.1,Free Delivery,False,https://daraz.pk/product/18,https://via.placeholder.com/300x300?text=Item+18,Quality Beauty available in Pakistan with fast delivery.,Brand R,2025-11-28 08:56:37,0.0
daraz,DRZ00019,Beauty Item 19,Fashion,5049.88,9649.81,4.7,2938,Out of Stock,Daraz Seller 54,4.7,Free Delivery,True,https://daraz.pk/product/19,https://via.placeholder.com/300x300?text=Item+19,Quality Beauty available in Pakistan with fast delivery.,Brand S,2025-11-28 08:56:37,47.7
daraz,DRZ00020,Beauty Item 20,Sports,9257.63,36500.62,3.2,544,Out of Stock,Daraz Seller 12,4.5,Free Delivery,True,https://daraz.pk/product/20,https://via.placeholder.com/300x300?text=Item+20,Quality Beauty available in Pakistan with fast delivery.,Brand T,2025-11-28 08:56:37,74.6
daraz,DRZ00021,Beauty Item 21,Beauty,47757.77,32326.68,4.4,1167,In Stock,Daraz Seller 77,5.0,Free Delivery,True,https://daraz.pk/product/21,https://via.placeholder.com/300x300?text=Item+21,Quality Beauty available in Pakistan with fast delivery.,Brand U,2025-11-28 08:56:37,0.0
daraz,DRZ00022,Beauty Item 22,Fashion,26454.32,53983.54,3.3,1036,Pre-order,Daraz Seller 65,4.6,Free Delivery,True,https://daraz.pk/product/22,https://via.placeholder.com/300x300?text=Item+22,Quality Beauty available in Pakistan with fast delivery.,Brand V,2025-11-28 08:56:37,51.0
daraz,DRZ00023,Beauty Item 23,Home,2450.35,41829.17,4.3,529,In Stock,Daraz Seller 61,4.4,Free Delivery,False,https://daraz.pk/product/23,https://via.placeholder.com/300x300?text=Item+23,Quality Beauty available in Pakistan with fast delivery.,Brand W,2025-11-28 08:56:37,94.1
daraz,DRZ00024,Beauty Item 24,Fashion,35958.54,53814.16,4.7,415,Pre-order,Daraz Seller 13,4.9,Free Delivery,False,https://daraz.pk/product/24,https://via.placeholder.com/300x300?text=Item+24,Quality Beauty available in Pakistan with fast delivery.,Brand X,2025-11-28 08:56:37,33.2
daraz,DRZ00025,Beauty Item 25,Fashion,7682.94,58751.44,4.9,1616,Pre-order,Daraz Seller 85,4.1,Cash on Delivery,True,https://daraz.pk/product/25,https://via.placeholder.com/300x300?text=Item+25,Quality Beauty available in Pakistan with fast delivery.,Brand Y,2025-11-28 08:56:37,86.9
daraz,DRZ00026,Beauty Item 26,Sports,35563.27,32231.25,4.2,209,Pre-order,Daraz Seller 43,4.3,Free Delivery,True,https://daraz.pk/product/26,https://via.placeholder.com/300x300?text=Item+26,Quality Beauty available in Pakistan with fast delivery.,Brand Z,2025-11-28 08:56:37,0.0
daraz,DRZ00027,Beauty Item 27,Fashion,29245.21,58210.28,3.5,1355,In Stock,Daraz Seller 9,4.3,Cash on Delivery,True,https://daraz.pk/product/27,https://via.placeholder.com/300x300?text=Item+27,Quality Beauty available in Pakistan with fast delivery.,Brand A,2025-11-28 08:56:37,49.8
daraz,DRZ00028,Beauty Item 28,Home,31885.74,4603.14,3.3,2188,Pre-order,Daraz Seller 91,4.5,Free Delivery,True,https://daraz.pk/product/28,https://via.placeholder.com/300x300?text=Item+28,Quality Beauty available in Pakistan with fast delivery.,Brand B,2025-11-28 08:56:37,0.0
daraz,DRZ00029,Beauty Item 29,Electronics,46928.13,57768.96,4.2,1308,In Stock,Daraz Seller 35,3.9,Free Delivery,False,https://daraz.pk/product/29,https://via.placeholder.com/300x300?text=Item+29,Quality Beauty available in Pakistan with fast delivery.,Brand C,2025-11-28 08:56:37,18.8
daraz,DRZ00030,Beauty Item 30,Sports,49717.31,39351.24,4.3,2567,Out of Stock,Daraz Seller 14,3.9,Free Delivery,False,https://daraz.pk/product/30,https://via.placeholder.com/300x300?text=Item+30,Quality Beauty available in Pakistan with fast delivery.,Brand D,2025-11-28 08:56:37,0.0
daraz,DRZ00031,Beauty Item 31,Sports,41193.45,48093.1,3.5,2669,Pre-order,Daraz Seller 60,4.4,Free Delivery,True,https://daraz.pk/product/31,https://via.placeholder.com/300x300?text=Item+31,Quality Beauty available in Pakistan with fast delivery.,Brand E,2025-11-28 08:56:37,14.3
daraz,DRZ00032,Beauty Item 32,Electronics,30455.43,54403.13,3.1,1908,Pre-order,Daraz Seller 7,4.8,Free Delivery,True,https://daraz.pk/product/32,https://via.placeholder.com/300x300?text=Item+32,Quality Beauty available in Pakistan with fast delivery.,Brand F,2025-11-28 08:56:37,44.0
daraz,DRZ00033,Beauty Item 33,Fashion,45058.86,2925.25,3.0,505,Out of Stock,Daraz Seller 74,3.8,Free Delivery,False,https://daraz.pk/product/33,https://via.placeholder.com/300x300?text=Item+33,Quality Beauty available in Pakistan with fast delivery.,Brand G,2025-11-28 08:56:37,0.0
daraz,DRZ00034,Beauty Item 34,Fashion,41994.62,44843.39,4.3,675,In Stock,Daraz Seller 55,3.7,Free Delivery,True,https://daraz.pk/product/34,https://via.placeholder.com/300x300?text=Item+34,Quality Beauty available in Pakistan with fast delivery.,Brand H,2025-11-28 08:56:37,6.4
daraz,DRZ00035,Beauty Item 35,Fashion,9420.55,11561.3,4.2,1258,Out of Stock,Daraz Seller 76,3.5,Free Delivery,False,https://daraz.pk/product/35,https://via.placeholder.com/300x300?text=Item+35,Quality Beauty available in Pakistan with fast delivery.,Brand I,2025-11-28 08:56:37,18.5
daraz,DRZ00036,Beauty Item 36,Home,15568.99,10149.35,4.6,2000,In Stock,Daraz Seller 34,3.6,Cash on Delivery,True,https://daraz.pk/product/36,https://via.placeholder.com/300x300?text=Item+36,Quality Beauty available in Pakistan with fast delivery.,Brand J,2025-11-28 08:56:37,0.0
daraz,DRZ00037,Beauty Item 37,Sports,42081.54,6005.38,4.6,896,Pre-order,Daraz Seller 8,4.9,Cash on Delivery,True,https://daraz.pk/product/37,https://via.placeholder.com/300x300?text=Item+37,Quality Beauty available in Pakistan with fast delivery.,Brand K,2025-11-28 08:56:37,0.0
daraz,DRZ00038,Beauty Item 38,Home,33049.49,33056.58,4.6,429,Out of Stock,Daraz Seller 13,4.8,Cash on Delivery,False,https://daraz.pk/product/38,https://via.placeholder.com/300x300?text=Item+38,Quality Beauty available in Pakistan with fast delivery.,Brand L,2025-11-28 08:56:37,0.0
daraz,DRZ00039,Beauty Item 39,Fashion,47557.57,55311.36,3.4,1733,Out of Stock,Daraz Seller 95,3.5,Free Delivery,False,https://daraz.pk/product/39,https://via.placeholder.com/300x300?text=Item+39,Quality Beauty available in Pakistan with fast delivery.,Brand M,2025-11-28 08:56:37,14.0
daraz,DRZ00040,Beauty Item 40,Home,48366.9,18659.71,4.2,2253,In Stock,Daraz Seller 46,4.6,Free Delivery,False,https://daraz.pk/product/40,https://via.placeholder.com/300x300?text=Item+40,Quality Beauty available in Pakistan with fast delivery.,Brand N,2025-11-28 08:56:37,0.0
daraz,DRZ00041,Beauty Item 41,Beauty,9205.09,11382.54,3.2,1673,Pre-order,Daraz Seller 35,4.1,Free Delivery,True,https://daraz.pk/product/41,https://via.placeholder.com/300x300?text=Item+41,Quality Beauty available in Pakistan with fast delivery.,Brand O,2025-11-28 08:56:37,19.1
daraz,DRZ00042,Beauty Item 42,Electronics,30697.72,14082.25,4.1,2035,Pre-order,Daraz Seller 90,4.0,Free Delivery,False,https://daraz.pk/product/42,https://via.placeholder.com/300x300?text=Item+42,Quality Beauty available in Pakistan with fast delivery.,Brand P,2025-11-28 08:56:37,0.0
daraz,DRZ00043,Beauty Item 43,Home,19464.83,26079.61,4.2,886,Out of Stock,Daraz Seller 45,4.5,Cash on Delivery,False,https://daraz.pk/product/43,https://via.placeholder.com/300x300?text=Item+43,Quality Beauty available in Pakistan with fast delivery.,Brand Q,2025-11-28 08:56:37,25.4
daraz,DRZ00044,Beauty Item 44,Sports,48229.5,51871.36,4.3,1024,In Stock,Daraz Seller 74,3.9,Cash on Delivery,False,https://daraz.pk/product/44,https://via.placeholder.com/300x300?text=Item+44,Quality Beauty available in Pakistan with fast delivery.,Brand R,2025-11-28 08:56:37,7.0
