platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,verified_seller,url,image_url,description,brand,scraped_at,discount_percent
daraz,DRZ00001,Electronics Item 1,Fashion,44114.02,44867.28,4.0,157,Pre-order,Daraz Seller 100,4.2,Cash on Delivery,True,https://daraz.pk/product/1,https://via.placeholder.com/300x300?text=Item+1,Quality Electronics available in Pakistan with fast delivery.,Brand A,2025-11-24 16:58:03,1.7
daraz,DRZ00002,Electronics Item 2,Beauty,7518.0,17168.89,4.7,1629,In Stock,Daraz Seller 54,3.6,Free Delivery,False,https://daraz.pk/product/2,https://via.placeholder.com/300x300?text=Item+2,Quality Electronics available in Pakistan with fast delivery.,Brand B,2025-11-24 16:58:03,56.2
daraz,DRZ00003,Electronics Item 3,Beauty,36807.47,19559.97,3.5,1096,Out of Stock,Daraz Seller 58,3.7,Free Delivery,True,https://daraz.pk/product/3,https://via.placeholder.com/300x300?text=Item+3,Quality Electronics available in Pakistan with fast delivery.,Brand C,2025-11-24 16:58:03,0.0
daraz,DRZ00004,Electronics Item 4,Beauty,47327.51,47881.29,4.1,923,In Stock,Daraz Seller 86,4.7,Cash on Delivery,False,https://daraz.pk/product/4,https://via.placeholder.com/300x300?text=Item+4,Quality Electronics available in Pakistan with fast delivery.,Brand D,2025-11-24 16:58:03,1.2
daraz,DRZ00005,Electronics Item 5,Home,45593.98,18176.49,4.4,1107,In Stock,Daraz Seller 75,4.2,Cash on Delivery,True,https://daraz.pk/product/5,https://via.placeholder.com/300x300?text=Item+5,Quality Electronics available in Pakistan with fast delivery.,Brand E,2025-11-24 16:58:03,0.0
daraz,DRZ00006,Electronics Item 6,Fashion,49715.19,39298.82,3.5,1510,Out of Stock,Daraz Seller 18,4.5,Cash on Delivery,True,https://daraz.pk/product/6,https://via.placeholder.com/300x300?text=Item+6,Quality Electronics available in Pakistan with fast delivery.,Brand F,2025-11-24 16:58:03,0.0
daraz,DRZ00007,Electronics Item 7,Electronics,1429.06,20750.72,4.8,1287,In Stock,Daraz Seller 12,4.5,Free Delivery,True,https://daraz.pk/product/7,https://via.placeholder.com/300x300?text=Item+7,Quality Electronics available in Pakistan with fast delivery.,Brand G,2025-11-24 16:58:03,93.1
daraz,DRZ00008,Electronics Item 8,Fashion,21054.39,33537.25,4.2,92,Out of Stock,Daraz Seller 24,3.8,Cash on Delivery,True,https://daraz.pk/product/8,https://via.placeholder.com/300x300?text=Item+8,Quality Electronics available in Pakistan with fast delivery.,Brand H,2025-11-24 16:58:03,37.2
daraz,DRZ00009,Electronics Item 9,Beauty,21489.3,44513.32,4.3,1699,In Stock,Daraz Seller 61,3.5,Free Delivery,False,https://daraz.pk/product/9,https://via.placeholder.com/300x300?text=Item+9,Quality Electronics available in Pakistan with fast delivery.,Brand I,2025-11-24 16:58:03,51.7
daraz,DRZ00010,Electronics Item 10,Home,31352.28,4274.55,4.5,1447,Out of Stock,Daraz Seller 59,4.7,Cash on Delivery,True,https://daraz.pk/product/10,https://via.placeholder.com/300x300?text=Item+10,Quality Electronics available in Pakistan with fast delivery.,Brand J,2025-11-24 16:58:03,0.0
daraz,DRZ00011,Electronics Item 11,Electronics,19978.07,49989.44,3.1,2827,Out of Stock,Daraz Seller 80,4.8,Free Delivery,True,https://daraz.pk/product/11,https://via.placeholder.com/300x300?text=Item+11,Quality Electronics available in Pakistan with fast delivery.,Brand K,2025-11-24 16:58:03,60.0
daraz,DRZ00012,Electronics Item 12,Fashion,37570.86,58783.5,4.9,1974,Out of Stock,Daraz Seller 91,3.8,Free Delivery,False,https://daraz.pk/product/12,https://via.placeholder.com/300x300?text=Item+12,Quality Electronics available in Pakistan with fast delivery.,Brand L,2025-11-24 16:58:03,36.1
daraz,DRZ00013,Electronics Item 13,Beauty,44139.27,8232.08,4.8,2005,In Stock,Daraz Seller 20,4.7,Free Delivery,False,https://daraz.pk/product/13,https://via.placeholder.com/300x300?text=Item+13,Quality Electronics available in Pakistan with fast delivery.,Brand M,2025-11-24 16:58:03,0.0
daraz,DRZ00014,Electronics Item 14,Fashion,41845.55,35871.92,4.6,402,In Stock,Daraz Seller 90,4.5,Cash on Delivery,True,https://daraz.pk/product/14,https://via.placeholder.com/300x300?text=Item+14,Quality Electronics available in Pakistan with fast delivery.,Brand N,2025-11-24 16:58:03,0.0
daraz,DRZ00015,Electronics Item 15,Fashion,27914.25,17298.55,3.1,966,In Stock,Daraz Seller 40,3.8,Cash on Delivery,False,https://daraz.pk/product/15,https://via.placeholder.com/300x300?text=Item+15,Quality Electronics available in Pakistan with fast delivery.,Brand O,2025-11-24 16:58:03,0.0
daraz,DRZ00016,Electronics Item 16,Home,47165.08,25152.47,4.5,1470,Out of Stock,Daraz Seller 2,3.5,Cash on Delivery,True,https://daraz.pk/product/16,https://via.placeholder.com/300x300?text=Item+16,Quality Electronics available in Pakistan with fast delivery.,Brand P,2025-11-24 16:58:03,0.0
daraz,DRZ00017,Electronics Item 17,Electronics,43372.83,23293.62,3.6,899,In Stock,Daraz Seller 94,3.9,Free Delivery,False,https://daraz.pk/product/17,https://via.placeholder.com/300x300?text=Item+17,Quality Electronics available in Pakistan with fast delivery.,Brand Q,2025-11-24 16:58:03,0.0
daraz,DRZ00018,Electronics Item 18,Electronics,25755.07,15804.48,3.6,2923,In Stock,Daraz Seller 68,4.4,Free Delivery,False,https://daraz.pk/product/18,https://via.placeholder.com/300x300?text=Item+18,Quality Electronics available in Pakistan with fast delivery.,Brand R,2025-11-24 16:58:03,0.0
daraz,DRZ00019,Electronics Item 19,Sports,14188.45,33466.48,3.1,2498,In Stock,Daraz Seller 26,3.7,Cash on Delivery,False,https://daraz.pk/product/19,https://via.placeholder.com/300x300?text=Item+19,Quality Electronics available in Pakistan with fast delivery.,Brand S,2025-11-24 16:58:03,57.6
daraz,DRZ00020,Electronics Item 20,Electronics,32531.36,33661.86,3.7,1108,Out of Stock,Daraz Seller 53,4.1,Free Delivery,True,https://daraz.pk/product/20,https://via.placeholder.com/300x300?text=Item+20,Quality Electronics available in Pakistan with fast delivery.,Brand T,2025-11-24 16:58:03,3.4
daraz,DRZ00021,Electronics Item 21,Home,11186.23,35685.32,3.9,1426,Out of Stock,Daraz Seller 95,4.9,Cash on Delivery,True,https://daraz.pk/product/21,https://via.placeholder.com/300x300?text=Item+21,Quality Electronics available in Pakistan with fast delivery.,Brand U,2025-11-24 16:58:03,68.7
daraz,DRZ00022,Electronics Item 22,Sports,48053.04,47877.05,3.3,1778,In Stock,Daraz Seller 61,3.9,Free Delivery,False,https://daraz.pk/product/22,https://via.placeholder.com/300x300?text=Item+22,Quality Electronics available in Pakistan with fast delivery.,Brand V,2025-11-24 16:58:03,0.0
daraz,DRZ00023,Electronics Item 23,Fashion,45706.24,39158.79,4.7,1645,Pre-order,Daraz Seller 13,4.7,Free Delivery,False,https://daraz.pk/product/23,https://via.placeholder.com/300x300?text=Item+23,Quality Electronics available in Pakistan with fast delivery.,Brand W,2025-11-24 16:58:03,0.0
daraz,DRZ00024,Electronics Item 24,Fashion,36361.3,850.8,3.0,954,Pre-order,Daraz Seller 37,4.4,Cash on Delivery,True,https://daraz.pk/product/24,https://via.placeholder.com/300x300?text=Item+24,Quality Electronics available in Pakistan with fast delivery.,Brand X,2025-11-24 16:58:03,0.0
daraz,DRZ00025,Electronics Item 25,Beauty,46864.63,31180.06,3.4,104,Pre-order,Daraz Seller 43,4.1,Cash on Delivery,True,https://daraz.pk/product/25,https://via.placeholder.com/300x300?text=Item+25,Quality Electronics available in Pakistan with fast delivery.,Brand Y,2025-11-24 16:58:03,0.0
daraz,DRZ00026,Electronics Item 26,Fashion,44714.99,4840.51,4.9,2960,In Stock,Daraz Seller 7,3.9,Free Delivery,True,https://daraz.pk/product/26,https://via.placeholder.com/300x300?text=Item+26,Quality Electronics available in Pakistan with fast delivery.,Brand Z,2025-11-24 16:58:03,0.0
daraz,DRZ00027,Electronics Item 27,Sports,15239.6,42553.95,4.1,694,In Stock,Daraz Seller 57,4.6,Free Delivery,False,https://daraz.pk/product/27,https://via.placeholder.com/300x300?text=Item+27,Quality Electronics available in Pakistan with fast delivery.,Brand A,2025-11-24 16:58:03,64.2
daraz,DRZ00028,Electronics Item 28,Fashion,6342.67,21398.76,3.4,1112,In Stock,Daraz Seller 54,4.6,Cash on Delivery,False,https://daraz.pk/product/28,https://via.placeholder.com/300x300?text=Item+28,Quality Electronics available in Pakistan with fast delivery.,Brand B,2025-11-24 16:58:03,70.4
daraz,DRZ00029,Electronics Item 29,Electronics,33701.47,44467.94,4.9,665,Pre-order,Daraz Seller 13,3.6,Cash on Delivery,False,https://daraz.pk/product/29,https://via.placeholder.com/300x300?text=Item+29,Quality Electronics available in Pakistan with fast delivery.,Brand C,2025-11-24 16:58:03,24.2
daraz,DRZ00030,Electronics Item 30,Sports,34373.66,54036.32,4.3,525,In Stock,Daraz Seller 72,4.3,Free Delivery,True,https://daraz.pk/product/30,https://via.placeholder.com/300x300?text=Item+30,Quality Electronics available in Pakistan with fast delivery.,Brand D,2025-11-24 16:58:03,36.4
daraz,DRZ00031,Electronics Item 31,Sports,19681.88,36776.88,3.1,1894,Pre-order,Daraz Seller 43,3.5,Free Delivery,False,https://daraz.pk/product/31,https://via.placeholder.com/300x300?text=Item+31,Quality Electronics available in Pakistan with fast delivery.,Brand E,2025-11-24 16:58:03,46.5
daraz,DRZ00032,Electronics Item 32,Sports,14345.77,29069.42,3.7,2867,Pre-order,Daraz Seller 46,3.6,Free Delivery,False,https://daraz.pk/product/32,https://via.placeholder.com/300x300?text=Item+32,Quality Electronics available in Pakistan with fast delivery.,Brand F,2025-11-24 16:58:03,50.6
