platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,verified_seller,url,image_url,description,brand,scraped_at,discount_percent
daraz,DRZ00001,Fashion Item 1,Electronics,24589.78,17059.73,4.9,1702,Out of Stock,Daraz Seller 41,3.6,Cash on Delivery,False,https://daraz.pk/product/1,https://via.placeholder.com/300x300?text=Item+1,Quality Fashion available in Pakistan with fast delivery.,Brand A,2025-11-24 00:57:53,0.0
daraz,DRZ00002,Fashion Item 2,Home,27159.48,52343.77,3.7,2476,Pre-order,Daraz Seller 72,4.8,Cash on Delivery,False,https://daraz.pk/product/2,https://via.placeholder.com/300x300?text=Item+2,Quality Fashion available in Pakistan with fast delivery.,Brand B,2025-11-24 00:57:53,48.1
daraz,DRZ00003,Fashion Item 3,Electronics,33602.79,8211.61,4.9,2389,Pre-order,Daraz Seller 11,3.9,Cash on Delivery,True,https://daraz.pk/product/3,https://via.placeholder.com/300x300?text=Item+3,Quality Fashion available in Pakistan with fast delivery.,Brand C,2025-11-24 00:57:53,0.0
daraz,DRZ00004,Fashion Item 4,Home,36246.78,8790.52,3.7,1730,In Stock,Daraz Seller 87,5.0,Free Delivery,True,https://daraz.pk/product/4,https://via.placeholder.com/300x300?text=Item+4,Quality Fashion available in Pakistan with fast delivery.,Brand D,2025-11-24 00:57:53,0.0
daraz,DRZ00005,Fashion Item 5,Electronics,1116.15,59925.87,3.7,2236,Out of Stock,Daraz Seller 53,3.7,Free Delivery,True,https://daraz.pk/product/5,https://via.placeholder.com/300x300?text=Item+5,Quality Fashion available in Pakistan with fast delivery.,Brand E,2025-11-24 00:57:53,98.1
daraz,DRZ00006,Fashion Item 6,Home,36592.82,15577.96,3.8,2466,Out of Stock,Daraz Seller 72,4.1,Cash on Delivery,False,https://daraz.pk/product/6,https://via.placeholder.com/300x300?text=Item+6,Quality Fashion available in Pakistan with fast delivery.,Brand F,2025-11-24 00:57:53,0.0
daraz,DRZ00007,Fashion Item 7,Electronics,7460.92,30756.65,4.2,1992,In Stock,Daraz Seller 45,3.9,Cash on Delivery,False,https://daraz.pk/product/7,https://via.placeholder.com/300x300?text=Item+7,Quality Fashion available in Pakistan with fast delivery.,Brand G,2025-11-24 00:57:53,75.7
daraz,DRZ00008,Fashion Item 8,Beauty,45654.65,39932.33,4.2,2487,Pre-order,Daraz Seller 30,4.2,Free Delivery,False,https://daraz.pk/product/8,https://via.placeholder.com/300x300?text=Item+8,Quality Fashion available in Pakistan with fast delivery.,Brand H,2025-11-24 00:57:53,0.0
daraz,DRZ00009,Fashion Item 9,Fashion,47636.11,57875.69,3.8,1942,In Stock,Daraz Seller 82,4.5,Cash on Delivery,True,https://daraz.pk/product/9,https://via.placeholder.com/300x300?text=Item+9,Quality Fashion available in Pakistan with fast delivery.,Brand I,2025-11-24 00:57:53,17.7
daraz,DRZ00010,Fashion Item 10,Fashion,8437.44,24680.57,3.1,901,Pre-order,Daraz Seller 81,3.6,Cash on Delivery,True,https://daraz.pk/product/10,https://via.placeholder.com/300x300?text=Item+10,Quality Fashion available in Pakistan with fast delivery.,Brand J,2025-11-24 00:57:53,65.8
