platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,verified_seller,url,image_url,description,brand,scraped_at,discount_percent
daraz,DRZ00001,Home Item 1,Fashion,47825.45,11933.35,3.1,1085,Pre-order,Daraz Seller 92,4.5,Free Delivery,False,https://daraz.pk/product/1,https://via.placeholder.com/300x300?text=Item+1,Quality Home available in Pakistan with fast delivery.,Brand A,2025-11-24 16:26:59,0.0
daraz,DRZ00002,Home Item 2,Fashion,11245.99,31669.43,4.3,2175,In Stock,Daraz Seller 21,4.4,Free Delivery,False,https://daraz.pk/product/2,https://via.placeholder.com/300x300?text=Item+2,Quality Home available in Pakistan with fast delivery.,Brand B,2025-11-24 16:26:59,64.5
daraz,DRZ00003,Home Item 3,Fashion,29760.24,38096.35,4.4,1139,In Stock,Daraz Seller 78,3.6,Free Delivery,False,https://daraz.pk/product/3,https://via.placeholder.com/300x300?text=Item+3,Quality Home available in Pakistan with fast delivery.,Brand C,2025-11-24 16:26:59,21.9
daraz,DRZ00004,Home Item 4,Sports,13338.56,52192.2,4.8,2045,Out of Stock,Daraz Seller 96,3.6,Free Delivery,True,https://daraz.pk/product/4,https://via.placeholder.com/300x300?text=Item+4,Quality Home available in Pakistan with fast delivery.,Brand D,2025-11-24 16:26:59,74.4
daraz,DRZ00005,Home Item 5,Electronics,17556.78,9921.66,5.0,2309,In Stock,Daraz Seller 2,3.6,Cash on Delivery,True,https://daraz.pk/product/5,https://via.placeholder.com/300x300?text=Item+5,Quality Home available in Pakistan with fast delivery.,Brand E,2025-11-24 16:26:59,0.0
daraz,DRZ00006,Home Item 6,Fashion,20884.49,42134.08,3.3,1334,Pre-order,Daraz Seller 43,4.6,Free Delivery,False,https://daraz.pk/product/6,https://via.placeholder.com/300x300?text=Item+6,Quality Home available in Pakistan with fast delivery.,Brand F,2025-11-24 16:26:59,50.4
daraz,DRZ00007,Home Item 7,Fashion,24853.49,1043.8,4.8,1253,Pre-order,Daraz Seller 56,3.8,Free Delivery,False,https://daraz.pk/product/7,https://via.placeholder.com/300x300?text=Item+7,Quality Home available in Pakistan with fast delivery.,Brand G,2025-11-24 16:26:59,0.0
daraz,DRZ00008,Home Item 8,Electronics,12076.22,12485.93,3.2,2058,Pre-order,Daraz Seller 78,4.8,Cash on Delivery,True,https://daraz.pk/product/8,https://via.placeholder.com/300x300?text=Item+8,Quality Home available in Pakistan with fast delivery.,Brand H,2025-11-24 16:26:59,3.3
daraz,DRZ00009,Home Item 9,Fashion,40070.92,55443.19,5.0,2177,Out of Stock,Daraz Seller 14,4.4,Free Delivery,False,https://daraz.pk/product/9,https://via.placeholder.com/300x300?text=Item+9,Quality Home available in Pakistan with fast delivery.,Brand I,2025-11-24 16:26:59,27.7
daraz,DRZ00010,Home Item 10,Electronics,48885.79,22133.34,3.8,838,In Stock,Daraz Seller 91,4.6,Free Delivery,False,https://daraz.pk/product/10,https://via.placeholder.com/300x300?text=Item+10,Quality Home available in Pakistan with fast delivery.,Brand J,2025-11-24 16:26:59,0.0
daraz,DRZ00011,Home Item 11,Beauty,9230.28,8498.37,3.9,2002,In Stock,Daraz Seller 89,4.4,Free Delivery,True,https://daraz.pk/product/11,https://via.placeholder.com/300x300?text=Item+11,Quality Home available in Pakistan with fast delivery.,Brand K,2025-11-24 16:26:59,0.0
daraz,DRZ00012,Home Item 12,Electronics,2790.24,40669.45,4.7,1685,Pre-order,Daraz Seller 60,4.0,Cash on Delivery,True,https://daraz.pk/product/12,https://via.placeholder.com/300x300?text=Item+12,Quality Home available in Pakistan with fast delivery.,Brand L,2025-11-24 16:26:59,93.1
daraz,DRZ00013,Home Item 13,Sports,5847.32,30270.24,4.5,2713,Out of Stock,Daraz Seller 89,4.3,Cash on Delivery,False,https://daraz.pk/product/13,https://via.placeholder.com/300x300?text=Item+13,Quality Home available in Pakistan with fast delivery.,Brand M,2025-11-24 16:26:59,80.7
daraz,DRZ00014,Home Item 14,Beauty,36547.85,50637.77,5.0,1259,Out of Stock,Daraz Seller 94,4.1,Cash on Delivery,False,https://daraz.pk/product/14,https://via.placeholder.com/300x300?text=Item+14,Quality Home available in Pakistan with fast delivery.,Brand N,2025-11-24 16:26:59,27.8
daraz,DRZ00015,Home Item 15,Home,49392.78,31791.45,4.6,265,In Stock,Daraz Seller 5,4.6,Cash on Delivery,True,https://daraz.pk/product/15,https://via.placeholder.com/300x300?text=Item+15,Quality Home available in Pakistan with fast delivery.,Brand O,2025-11-24 16:26:59,0.0
daraz,DRZ00016,Home Item 16,Sports,11385.22,35748.19,3.4,1957,Pre-order,Daraz Seller 59,3.8,Free Delivery,True,https://daraz.pk/product/16,https://via.placeholder.com/300x300?text=Item+16,Quality Home available in Pakistan with fast delivery.,Brand P,2025-11-24 16:26:59,68.2
daraz,DRZ00017,Home Item 17,Sports,4191.79,19790.76,4.4,2434,In Stock,Daraz Seller 45,3.8,Free Delivery,False,https://daraz.pk/product/17,https://via.placeholder.com/300x300?text=Item+17,Quality Home available in Pakistan with fast delivery.,Brand Q,2025-11-24 16:26:59,78.8
daraz,DRZ00018,Home Item 18,Sports,10329.55,40120.53,4.7,352,Pre-order,Daraz Seller 55,3.9,Cash on Delivery,False,https://daraz.pk/product/18,https://via.placeholder.com/300x300?text=Item+18,Quality Home available in Pakistan with fast delivery.,Brand R,2025-11-24 16:26:59,74.3
