platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,verified_seller,url,image_url,description,brand,scraped_at,discount_percent
daraz,DRZ00001,Sports Item 1,Sports,35079.83,15267.29,4.1,2564,Out of Stock,Daraz Seller 61,4.0,Free Delivery,False,https://daraz.pk/product/1,https://via.placeholder.com/300x300?text=Item+1,Quality Sports available in Pakistan with fast delivery.,Brand A,2025-11-24 16:31:31,0.0
daraz,DRZ00002,Sports Item 2,Electronics,37236.42,35367.2,4.0,1138,In Stock,Daraz Seller 49,3.7,Free Delivery,False,https://daraz.pk/product/2,https://via.placeholder.com/300x300?text=Item+2,Quality Sports available in Pakistan with fast delivery.,Brand B,2025-11-24 16:31:31,0.0
daraz,DRZ00003,Sports Item 3,Electronics,48914.36,1062.32,4.1,397,Pre-order,Daraz Seller 26,4.1,Cash on Delivery,False,https://daraz.pk/product/3,https://via.placeholder.com/300x300?text=Item+3,Quality Sports available in Pakistan with fast delivery.,Brand C,2025-11-24 16:31:31,0.0
daraz,DRZ00004,Sports Item 4,Electronics,39142.6,6516.67,3.8,875,Out of Stock,Daraz Seller 16,4.7,Cash on Delivery,False,https://daraz.pk/product/4,https://via.placeholder.com/300x300?text=Item+4,Quality Sports available in Pakistan with fast delivery.,Brand D,2025-11-24 16:31:31,0.0
daraz,DRZ00005,Sports Item 5,Electronics,46699.84,1417.78,3.3,1043,Out of Stock,Daraz Seller 8,4.3,Cash on Delivery,False,https://daraz.pk/product/5,https://via.placeholder.com/300x300?text=Item+5,Quality Sports available in Pakistan with fast delivery.,Brand E,2025-11-24 16:31:31,0.0
daraz,DRZ00006,Sports Item 6,Sports,41839.94,13089.52,3.1,2801,Pre-order,Daraz Seller 44,3.7,Cash on Delivery,True,https://daraz.pk/product/6,https://via.placeholder.com/300x300?text=Item+6,Quality Sports available in Pakistan with fast delivery.,Brand F,2025-11-24 16:31:31,0.0
daraz,DRZ00007,Sports Item 7,Beauty,41257.59,5505.7,3.2,674,In Stock,Daraz Seller 34,4.5,Cash on Delivery,True,https://daraz.pk/product/7,https://via.placeholder.com/300x300?text=Item+7,Quality Sports available in Pakistan with fast delivery.,Brand G,2025-11-24 16:31:31,0.0
daraz,DRZ00008,Sports Item 8,Fashion,32066.87,20309.18,4.3,954,Out of Stock,Daraz Seller 12,3.8,Cash on Delivery,False,https://daraz.pk/product/8,https://via.placeholder.com/300x300?text=Item+8,Quality Sports available in Pakistan with fast delivery.,Brand H,2025-11-24 16:31:31,0.0
daraz,DRZ00009,Sports Item 9,Home,23596.26,38968.93,3.3,663,In Stock,Daraz Seller 100,4.1,Cash on Delivery,False,https://daraz.pk/product/9,https://via.placeholder.com/300x300?text=Item+9,Quality Sports available in Pakistan with fast delivery.,Brand I,2025-11-24 16:31:31,39.4
daraz,DRZ00010,Sports Item 10,Fashion,21792.28,14513.3,4.6,870,Pre-order,Daraz Seller 10,4.6,Free Delivery,True,https://daraz.pk/product/10,https://via.placeholder.com/300x300?text=Item+10,Quality Sports available in Pakistan with fast delivery.,Brand J,2025-11-24 16:31:31,0.0
daraz,DRZ00011,Sports Item 11,Home,31906.35,41646.02,4.4,483,Pre-order,Daraz Seller 8,4.2,Free Delivery,False,https://daraz.pk/product/11,https://via.placeholder.com/300x300?text=Item+11,Quality Sports available in Pakistan with fast delivery.,Brand K,2025-11-24 16:31:31,23.4
daraz,DRZ00012,Sports Item 12,Fashion,11629.69,1121.55,4.4,901,Pre-order,Daraz Seller 36,3.6,Free Delivery,True,https://daraz.pk/product/12,https://via.placeholder.com/300x300?text=Item+12,Quality Sports available in Pakistan with fast delivery.,Brand L,2025-11-24 16:31:31,0.0
daraz,DRZ00013,Sports Item 13,Sports,6673.12,38676.92,3.8,74,Pre-order,Daraz Seller 96,4.4,Cash on Delivery,True,https://daraz.pk/product/13,https://via.placeholder.com/300x300?text=Item+13,Quality Sports available in Pakistan with fast delivery.,Brand M,2025-11-24 16:31:31,82.7
daraz,DRZ00014,Sports Item 14,Sports,49923.77,44494.6,3.8,1691,Pre-order,Daraz Seller 74,3.7,Cash on Delivery,False,https://daraz.pk/product/14,https://via.placeholder.com/300x300?text=Item+14,Quality Sports available in Pakistan with fast delivery.,Brand N,2025-11-24 16:31:31,0.0
daraz,DRZ00015,Sports Item 15,Sports,23474.43,42138.4,4.7,357,Pre-order,Daraz Seller 98,4.6,Free Delivery,False,https://daraz.pk/product/15,https://via.placeholder.com/300x300?text=Item+15,Quality Sports available in Pakistan with fast delivery.,Brand O,2025-11-24 16:31:31,44.3
daraz,DRZ00016,Sports Item 16,Fashion,36368.24,31183.44,4.7,2745,In Stock,Daraz Seller 38,4.6,Free Delivery,True,https://daraz.pk/product/16,https://via.placeholder.com/300x300?text=Item+16,Quality Sports available in Pakistan with fast delivery.,Brand P,2025-11-24 16:31:31,0.0
daraz,DRZ00017,Sports Item 17,Electronics,45879.64,4313.97,3.6,1879,Out of Stock,Daraz Seller 36,3.5,Cash on Delivery,True,https://daraz.pk/product/17,https://via.placeholder.com/300x300?text=Item+17,Quality Sports available in Pakistan with fast delivery.,Brand Q,2025-11-24 16:31:31,0.0
daraz,DRZ00018,Sports Item 18,Home,49027.3,12441.01,4.7,2216,Out of Stock,Daraz Seller 87,4.1,Free Delivery,False,https://daraz.pk/product/18,https://via.placeholder.com/300x300?text=Item+18,Quality Sports available in Pakistan with fast delivery.,Brand R,2025-11-24 16:31:31,0.0
daraz,DRZ00019,Sports Item 19,Sports,24778.93,53014.08,3.2,11,Pre-order,Daraz Seller 58,3.6,Free Delivery,True,https://daraz.pk/product/19,https://via.placeholder.com/300x300?text=Item+19,Quality Sports available in Pakistan with fast delivery.,Brand S,2025-11-24 16:31:31,53.3
daraz,DRZ00020,Sports Item 20,Electronics,40102.84,35424.73,4.6,1890,Pre-order,Daraz Seller 1,4.0,Cash on Delivery,False,https://daraz.pk/product/20,https://via.placeholder.com/300x300?text=Item+20,Quality Sports available in Pakistan with fast delivery.,Brand T,2025-11-24 16:31:31,0.0
daraz,DRZ00021,Sports Item 21,Beauty,710.54,57354.78,4.5,1867,In Stock,Daraz Seller 13,4.1,Free Delivery,True,https://daraz.pk/product/21,https://via.placeholder.com/300x300?text=Item+21,Quality Sports available in Pakistan with fast delivery.,Brand U,2025-11-24 16:31:31,98.8
daraz,DRZ00022,Sports Item 22,Sports,29253.01,12411.61,3.4,847,Pre-order,Daraz Seller 81,4.2,Free Delivery,False,https://daraz.pk/product/22,https://via.placeholder.com/300x300?text=Item+22,Quality Sports available in Pakistan with fast delivery.,Brand V,2025-11-24 16:31:31,0.0
daraz,DRZ00023,Sports Item 23,Beauty,8139.22,30080.13,3.2,2977,Out of Stock,Daraz Seller 40,5.0,Free Delivery,False,https://daraz.pk/product/23,https://via.placeholder.com/300x300?text=Item+23,Quality Sports available in Pakistan with fast delivery.,Brand W,2025-11-24 16:31:31,72.9
daraz,DRZ00024,Sports Item 24,Sports,40068.18,34975.05,3.4,424,Out of Stock,Daraz Seller 34,4.0,Cash on Delivery,True,https://daraz.pk/product/24,https://via.placeholder.com/300x300?text=Item+24,Quality Sports available in Pakistan with fast delivery.,Brand X,2025-11-24 16:31:31,0.0
daraz,DRZ00025,Sports Item 25,Electronics,24558.89,21819.77,4.0,1981,Out of Stock,Daraz Seller 23,3.7,Cash on Delivery,True,https://daraz.pk/product/25,https://via.placeholder.com/300x300?text=Item+25,Quality Sports available in Pakistan with fast delivery.,Brand Y,2025-11-24 16:31:31,0.0
daraz,DRZ00026,Sports Item 26,Home,8959.04,49867.02,3.7,1308,Pre-order,Daraz Seller 86,4.3,Cash on Delivery,True,https://daraz.pk/product/26,https://via.placeholder.com/300x300?text=Item+26,Quality Sports available in Pakistan with fast delivery.,Brand Z,2025-11-24 16:31:31,82.0
daraz,DRZ00027,Sports Item 27,Sports,27003.95,44370.23,4.3,2135,Out of Stock,Daraz Seller 61,4.3,Cash on Delivery,False,https://daraz.pk/product/27,https://via.placeholder.com/300x300?text=Item+27,Quality Sports available in Pakistan with fast delivery.,Brand A,2025-11-24 16:31:31,39.1
daraz,DRZ00028,Sports Item 28,Home,39680.37,50512.92,3.9,2318,Pre-order,Daraz Seller 19,3.8,Cash on Delivery,False,https://daraz.pk/product/28,https://via.placeholder.com/300x300?text=Item+28,Quality Sports available in Pakistan with fast delivery.,Brand B,2025-11-24 16:31:31,21.4
daraz,DRZ00029,Sports Item 29,Electronics,6125.48,5935.2,3.8,1193,Pre-order,Daraz Seller 22,3.7,Free Delivery,False,https://daraz.pk/product/29,https://via.placeholder.com/300x300?text=Item+29,Quality Sports available in Pakistan with fast delivery.,Brand C,2025-11-24 16:31:31,0.0
daraz,DRZ00030,Sports Item 30,Sports,12070.93,46952.93,3.2,670,Pre-order,Daraz Seller 28,3.6,Cash on Delivery,True,https://daraz.pk/product/30,https://via.placeholder.com/300x300?text=Item+30,Quality Sports available in Pakistan with fast delivery.,Brand D,2025-11-24 16:31:31,74.3
daraz,DRZ00031,Sports Item 31,Electronics,3993.52,5776.65,3.4,2051,Out of Stock,Daraz Seller 76,5.0,Cash on Delivery,False,https://daraz.pk/product/31,https://via.placeholder.com/300x300?text=Item+31,Quality Sports available in Pakistan with fast delivery.,Brand E,2025-11-24 16:31:31,30.9
daraz,DRZ00032,Sports Item 32,Home,5114.27,33833.74,4.3,2283,Pre-order,Daraz Seller 29,3.7,Free Delivery,False,https://daraz.pk/product/32,https://via.placeholder.com/300x300?text=Item+32,Quality Sports available in Pakistan with fast delivery.,Brand F,2025-11-24 16:31:31,84.9
daraz,DRZ00033,Sports Item 33,Sports,47602.45,13002.16,4.5,942,Out of Stock,Daraz Seller 100,3.9,Free Delivery,True,https://daraz.pk/product/33,https://via.placeholder.com/300x300?text=Item+33,Quality Sports available in Pakistan with fast delivery.,Brand G,2025-11-24 16:31:31,0.0
daraz,DRZ00034,Sports Item 34,Fashion,9655.96,15764.17,3.4,1022,In Stock,Daraz Seller 92,3.6,Cash on Delivery,True,https://daraz.pk/product/34,https://via.placeholder.com/300x300?text=Item+34,Quality Sports available in Pakistan with fast delivery.,Brand H,2025-11-24 16:31:31,38.7
daraz,DRZ00035,Sports Item 35,Sports,27013.75,55454.9,4.5,2802,In Stock,Daraz Seller 61,4.5,Free Delivery,True,https://daraz.pk/product/35,https://via.placeholder.com/300x300?text=Item+35,Quality Sports available in Pakistan with fast delivery.,Brand I,2025-11-24 16:31:31,51.3
daraz,DRZ00036,Sports Item 36,Home,33644.11,35253.67,4.7,948,Pre-order,Daraz Seller 94,4.1,Free Delivery,False,https://daraz.pk/product/36,https://via.placeholder.com/300x300?text=Item+36,Quality Sports available in Pakistan with fast delivery.,Brand J,2025-11-24 16:31:31,4.6
