platform,product_id,title,category,price,original_price,rating,reviews_count,availability,seller,seller_rating,shipping,prime_eligible,url,image_url,description,brand,scraped_at,discount_percent,verified_seller
amazon,AMZ00001,Fashion Product 1,Books,28.65,332.16,3.6,3245,Pre-order,Seller 83,4.4,Free Shipping,False,https://amazon.com/product/1,https://via.placeholder.com/300x300?text=Product+1,High-quality Fashion with excellent features and performance.,Brand A,2025-11-24 00:57:53,91.4,
amazon,AMZ00002,Fashion Product 2,Fashion,206.45,161.59,4.8,37,Limited Stock,Seller 28,4.4,Paid Shipping,True,https://amazon.com/product/2,https://via.placeholder.com/300x300?text=Product+2,High-quality Fashion with excellent features and performance.,Brand B,2025-11-24 00:57:53,0.0,
amazon,AMZ00003,Fashion Product 3,Home & Kitchen,57.84,52.14,3.7,904,In Stock,Seller 98,4.9,Free Shipping,False,https://amazon.com/product/3,https://via.placeholder.com/300x300?text=Product+3,High-quality Fashion with excellent features and performance.,Brand C,2025-11-24 00:57:53,0.0,
amazon,AMZ00004,Fashion Product 4,Books,61.96,519.52,3.9,3125,Limited Stock,Seller 53,4.5,Free Shipping,False,https://amazon.com/product/4,https://via.placeholder.com/300x300?text=Product+4,High-quality Fashion with excellent features and performance.,Brand D,2025-11-24 00:57:53,88.1,
amazon,AMZ00005,Fashion Product 5,Electronics,375.61,592.04,3.8,560,Limited Stock,Seller 43,4.9,Free Shipping,False,https://amazon.com/product/5,https://via.placeholder.com/300x300?text=Product+5,High-quality Fashion with excellent features and performance.,Brand E,2025-11-24 00:57:53,36.6,
amazon,AMZ00006,Fashion Product 6,Home & Kitchen,397.35,469.59,4.4,1983,Pre-order,Seller 12,5.0,Paid Shipping,True,https://amazon.com/product/6,https://via.placeholder.com/300x300?text=Product+6,High-quality Fashion with excellent features and performance.,Brand F,2025-11-24 00:57:53,15.4,
amazon,AMZ00007,Fashion Product 7,Electronics,272.16,99.04,3.9,4183,Pre-order,Seller 87,4.9,Paid Shipping,True,https://amazon.com/product/7,https://via.placeholder.com/300x300?text=Product+7,High-quality Fashion with excellent features and performance.,Brand G,2025-11-24 00:57:53,0.0,
amazon,AMZ00008,Fashion Product 8,Home & Kitchen,246.53,226.11,3.7,3594,In Stock,Seller 51,4.8,Paid Shipping,True,https://amazon.com/product/8,https://via.placeholder.com/300x300?text=Product+8,High-quality Fashion with excellent features and performance.,Brand H,2025-11-24 00:57:53,0.0,
amazon,AMZ00009,Fashion Product 9,Fashion,305.79,546.94,4.4,2736,Pre-order,Seller 62,4.6,Free Shipping,False,https://amazon.com/product/9,https://via.placeholder.com/300x300?text=Product+9,High-quality Fashion with excellent features and performance.,Brand I,2025-11-24 00:57:53,44.1,
amazon,AMZ00010,Fashion Product 10,Home & Kitchen,481.7,175.42,3.6,316,In Stock,Seller 37,4.7,Paid Shipping,False,https://amazon.com/product/10,https://via.placeholder.com/300x300?text=Product+10,High-quality Fashion with excellent features and performance.,Brand J,2025-11-24 00:57:53,0.0,
amazon,AMZ00011,Fashion Product 11,Home & Kitchen,479.54,77.12,4.0,3755,In Stock,Seller 72,4.9,Free Shipping,False,https://amazon.com/product/11,https://via.placeholder.com/300x300?text=Product+11,High-quality Fashion with excellent features and performance.,Brand K,2025-11-24 00:57:53,0.0,
amazon,AMZ00012,Fashion Product 12,Electronics,259.07,156.57,3.8,2386,Limited Stock,Seller 56,4.9,Free Shipping,True,https://amazon.com/product/12,https://via.placeholder.com/300x300?text=Product+12,High-quality Fashion with excellent features and performance.,Brand L,2025-11-24 00:57:53,0.0,
amazon,AMZ00013,Fashion Product 13,Fashion,407.06,427.11,4.8,251,Limited Stock,Seller 28,4.5,Paid Shipping,True,https://amazon.com/product/13,https://via.placeholder.com/300x300?text=Product+13,High-quality Fashion with excellent features and performance.,Brand M,2025-11-24 00:57:53,4.7,
amazon,AMZ00014,Fashion Product 14,Sports,174.27,573.58,4.7,4246,Pre-order,Seller 12,4.4,Free Shipping,False,https://amazon.com/product/14,https://via.placeholder.com/300x300?text=Product+14,High-quality Fashion with excellent features and performance.,Brand N,2025-11-24 00:57:53,69.6,
amazon,AMZ00015,Fashion Product 15,Home & Kitchen,456.43,486.89,4.5,1440,Pre-order,Seller 83,4.4,Free Shipping,False,https://amazon.com/product/15,https://via.placeholder.com/300x300?text=Product+15,High-quality Fashion with excellent features and performance.,Brand O,2025-11-24 00:57:53,6.3,
amazon,AMZ00016,Fashion Product 16,Books,96.04,587.37,4.6,358,Limited Stock,Seller 7,4.7,Free Shipping,False,https://amazon.com/product/16,https://via.placeholder.com/300x300?text=Product+16,High-quality Fashion with excellent features and performance.,Brand P,2025-11-24 00:57:53,83.6,
amazon,AMZ00017,Fashion Product 17,Sports,58.26,292.65,4.4,1692,Pre-order,Seller 49,4.8,Paid Shipping,False,https://amazon.com/product/17,https://via.placeholder.com/300x300?text=Product+17,High-quality Fashion with excellent features and performance.,Brand Q,2025-11-24 00:57:53,80.1,
amazon,AMZ00018,Fashion Product 18,Home & Kitchen,316.52,533.94,4.2,2023,Pre-order,Seller 70,4.5,Paid Shipping,False,https://amazon.com/product/18,https://via.placeholder.com/300x300?text=Product+18,High-quality Fashion with excellent features and performance.,Brand R,2025-11-24 00:57:53,40.7,
amazon,AMZ00019,Fashion Product 19,Home & Kitchen,277.99,331.93,3.8,4009,Limited Stock,Seller 81,5.0,Free Shipping,True,https://amazon.com/product/19,https://via.placeholder.com/300x300?text=Product+19,High-quality Fashion with excellent features and performance.,Brand S,2025-11-24 00:57:53,16.3,
amazon,AMZ00020,Fashion Product 20,Sports,63.98,387.19,4.1,1345,In Stock,Seller 68,4.8,Free Shipping,False,https://amazon.com/product/20,https://via.placeholder.com/300x300?text=Product+20,High-quality Fashion with excellent features and performance.,Brand T,2025-11-24 00:57:53,83.5,
amazon,AMZ00021,Fashion Product 21,Home & Kitchen,327.44,499.48,4.5,4709,Limited Stock,Seller 48,4.2,Paid Shipping,False,https://amazon.com/product/21,https://via.placeholder.com/300x300?text=Product+21,High-quality Fashion with excellent features and performance.,Brand U,2025-11-24 00:57:53,34.4,
amazon,AMZ00022,Fashion Product 22,Electronics,130.05,372.19,3.7,1085,Limited Stock,Seller 46,4.6,Paid Shipping,True,https://amazon.com/product/22,https://via.placeholder.com/300x300?text=Product+22,High-quality Fashion with excellent features and performance.,Brand V,2025-11-24 00:57:53,65.1,
amazon,AMZ00023,Fashion Product 23,Electronics,400.53,57.99,4.2,3873,Pre-order,Seller 99,4.8,Paid Shipping,False,https://amazon.com/product/23,https://via.placeholder.com/300x300?text=Product+23,High-quality Fashion with excellent features and performance.,Brand W,2025-11-24 00:57:53,0.0,
amazon,AMZ00024,Fashion Product 24,Electronics,428.67,160.48,3.8,4806,Pre-order,Seller 67,4.5,Free Shipping,True,https://amazon.com/product/24,https://via.placeholder.com/300x300?text=Product+24,High-quality Fashion with excellent features and performance.,Brand X,2025-11-24 00:57:53,0.0,
amazon,AMZ00025,Fashion Product 25,Home & Kitchen,406.79,377.58,3.9,2402,In Stock,Seller 60,4.7,Paid Shipping,False,https://amazon.com/product/25,https://via.placeholder.com/300x300?text=Product+25,High-quality Fashion with excellent features and performance.,Brand Y,2025-11-24 00:57:53,0.0,
amazon,AMZ00026,Fashion Product 26,Electronics,145.53,587.95,4.4,4349,Limited Stock,Seller 79,4.9,Free Shipping,True,https://amazon.com/product/26,https://via.placeholder.com/300x300?text=Product+26,High-quality Fashion with excellent features and performance.,Brand Z,2025-11-24 00:57:53,75.2,
amazon,AMZ00027,Fashion Product 27,Home & Kitchen,437.09,233.41,4.4,3385,Pre-order,Seller 79,4.2,Free Shipping,False,https://amazon.com/product/27,https://via.placeholder.com/300x300?text=Product+27,High-quality Fashion with excellent features and performance.,Brand A,2025-11-24 00:57:53,0.0,
amazon,AMZ00028,Fashion Product 28,Fashion,327.0,569.78,3.9,1193,In Stock,Seller 86,4.7,Paid Shipping,True,https://amazon.com/product/28,https://via.placeholder.com/300x300?text=Product+28,High-quality Fashion with excellent features and performance.,Brand B,2025-11-24 00:57:53,42.6,
amazon,AMZ00029,Fashion Product 29,Home & Kitchen,249.63,471.94,3.7,4216,In Stock,Seller 55,4.6,Paid Shipping,False,https://amazon.com/product/29,https://via.placeholder.com/300x300?text=Product+29,High-quality Fashion with excellent features and performance.,Brand C,2025-11-24 00:57:53,47.1,
amazon,AMZ00030,Fashion Product 30,Sports,456.24,596.63,3.8,2635,Limited Stock,Seller 64,4.9,Free Shipping,False,https://amazon.com/product/30,https://via.placeholder.com/300x300?text=Product+30,High-quality Fashion with excellent features and performance.,Brand D,2025-11-24 00:57:53,23.5,
amazon,AMZ00031,Fashion Product 31,Home & Kitchen,271.11,313.91,4.0,2349,Pre-order,Seller 95,4.6,Free Shipping,True,https://amazon.com/product/31,https://via.placeholder.com/300x300?text=Product+31,High-quality Fashion with excellent features and performance.,Brand E,2025-11-24 00:57:53,13.6,
